회사명,종목코드,티커,시장구분,업종,주요제품,상장일,결산월,대표자,홈페이지,주소지,alias
라이콤,388790,388790.KQ,KOSDAQ,통신 및 방송 장비 제조업,"제조업(광증폭기, 광송수신기, 광섬유레이저 외)",2021-09-03,12월,김성준,http://www.licomm.com,경기도,라이콤
라이프시맨틱스,347700,347700.KQ,KOSDAQ,소프트웨어 개발 및 공급업,"소프트웨어(개인건강기록 플랫폼,진료기록번역플랫폼,질병분류기호 검색) 개발,공급/의료기기 도매/자문,컨설팅/전자상거래,통신판매",2021-03-23,12월,최광수,http://lifesemantics.kr,서울특별시,라이프시맨틱스
라파스,214260,214260.KQ,KOSDAQ,기타 화학제품 제조업,"마이크로니들 패치 제품(의약품패치, 의료기기패치, 미용패치 등)",2019-11-11,12월,정도현,http://www.raphas.com,서울특별시,라파스
라피치,403360,403360.KQ,KONEX,소프트웨어 개발 및 공급업,Conversational AI Service 제품 및 생체인증(음성) Service 제품,2021-12-14,12월,어범석,http://www.rapeech.com,서울특별시,라피치
램테크놀러지,171010,171010.KQ,KOSDAQ,기초 화학물질 제조업,"반도체 식각액, 박리액, 세정액 등",2013-11-18,12월,길준봉,http://www.ramtech.co.kr,경기도,램테크놀러지
랩지노믹스,84650,084650.KQ,KOSDAQ,자연과학 및 공학 연구개발업,체외진단 서비스 및 제품,2014-12-16,12월,이종훈,http://www.labgenomics.co.kr,경기도,랩지노믹스
러셀,217500,217500.KQ,KOSDAQ,특수 목적용 기계 제조업,반도체장비 리퍼비시,2015-06-16,12월,권순욱,http://www.erussell.co.kr,충청북도,러셀
럭스피아,92590,092590.KQ,KONEX,반도체 제조업,"LED 패키지, LED 모듈",2015-10-30,12월,성석종,http://www.luxpialed.com,경기도,럭스피아
레드캡투어,38390,038390.KQ,KOSDAQ,여행사 및 기타 여행보조 서비스업,"여행알선, 렌터카",2000-02-01,12월,인유성,http://www.redcap.co.kr,서울특별시,레드캡투어
레몬,294140,294140.KQ,KOSDAQ,화학섬유 제조업,"EMI Shield Can, 나노멤브레인 등",2020-02-28,12월,김광진,http://www.lemonano.co.kr,경상북도,레몬
레뷰코퍼레이션,443250,443250.KQ,KOSDAQ,광고업,"REVU 서비스(컨텐츠마케팅, 로컬, 에이전시)",2023-10-06,12월,송인상,http://corp.revu.net,서울특별시,레뷰코퍼레이션
레이,228670,228670.KQ,KOSDAQ,의료용 기기 제조업,"디지털 치료솔루션(CT scan 장비, 3D 프린터), 디지털 진단시스템(X-ray, CT 등)",2019-08-08,12월,이상철,http://www.raymedical.co.kr,경기도,레이
레이언스,228850,228850.KQ,KOSDAQ,의료용 기기 제조업,"TFT Detector, CMOS Detector, I/O Sensor",2016-04-11,12월,서재정,http://www.rayence.com,경기도,레이언스
레이저쎌,412350,412350.KQ,KOSDAQ,특수 목적용 기계 제조업,"에어리어 레이저솔루션, LSR, LCB, LSB, BSOM 등",2022-06-24,12월,안건준,http://www.laserssel.com,경기도,레이저쎌
레이저옵텍,199550,199550.KQ,KOSDAQ,의료용 기기 제조업,레이저 기반 피부미용기기 및 질환치료기기,2024-02-01,12월,"주홍, 이창진",http://www.laseroptek.com,경기도,레이저옵텍
레이크머티리얼즈,281740,281740.KQ,KOSDAQ,기타 화학제품 제조업,"LED, 반도체 소재 및 석유화학촉매",2017-12-12,12월,김진동,http://www.lake-led.com,세종특별자치시,레이크머티리얼즈
레인보우로보틱스,277810,277810.KQ,KOSDAQ,특수 목적용 기계 제조업,"협동로봇, 천문마운트시스템, 이족보행로봇 등",2021-02-03,12월,이정호,http://www.rainbow-robotics.com/new/index_ko.php,대전광역시,레인보우로보틱스
로보로보,215100,215100.KQ,KOSDAQ,기타 전기장비 제조업,교육용로봇,2015-04-22,12월,최영석,http://www.roborobo.co.kr,서울특별시,로보로보
로보스타,90360,090360.KQ,KOSDAQ,특수 목적용 기계 제조업,"제조용 로봇, FPD 장비, IT부품 제조장비",2011-10-17,12월,배병주,http://robostar.co.kr,경기도,로보스타
로보쓰리에이아이,238500,238500.KQ,KONEX,"그외 기타 전문, 과학 및 기술 서비스업","모듈, 퍼스널 모빌리티기기",2016-04-20,12월,황용운,http://www.robo3.com,서울특별시,로보쓰리에이아이
로보티즈,108490,108490.KQ,KOSDAQ,특수 목적용 기계 제조업,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",2018-10-26,12월,김병수,https://www.robotis.com,서울특별시,로보티즈
로스웰,900260,900260.KQ,KOSDAQ,기타 금융업,"CAN Control Gateway, CAN기능모듈, BCM 차체제어모듈",2016-06-30,12월,저우샹동,http://www.rothwell.tech,홍콩,로스웰
로지스몬,223220,223220.KQ,KONEX,기타 운송관련 서비스업,모바일 컨텐츠 개발 및 유통,2015-07-09,12월,이석준,http://ipmonster.co.kr,서울특별시,로지스몬
로지시스,67730,067730.KQ,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","전산장비 판매 및 유지보수, VAN기기 대행관리",2015-07-29,12월,이호성,http://www.logisys.co.kr,서울특별시,로지시스
로체시스템즈,71280,071280.KQ,KOSDAQ,특수 목적용 기계 제조업,LCD 제조용 이송장비,2003-11-14,12월,박기환,http://www.rorze.co.kr,경기도,로체시스템즈
롯데관광개발,32350,032350.KS,KOSPI,여행사 및 기타 여행보조 서비스업,"국내외여행알선,관광개발,전세운수,항공권매매대행",2006-06-08,12월,"김기병, 백현, 김한준",http://lottetour.com,제주특별자치도,롯데관광개발
롯데렌탈,89860,089860.KS,KOSPI,운송장비 임대업,"렌터카, 카셰어링(그린카), 중고차매매, 일반렌탈(측정기,OA, 리프트 등)",2021-08-19,12월,최진환,http://www.lotterental.com,경기도,롯데렌탈
롯데리츠,330590,330590.KS,KOSPI,부동산 임대 및 공급업,부동산투자,2019-10-30,06월,롯데에이엠씨 주식회사,http://www.lottereit.co.kr,서울특별시,롯데리츠
롯데손해보험,400,000400.KS,KOSPI,보험업,손해보험업,1971-04-16,12월,이은호,http://www.lotteins.co.kr,서울특별시,롯데손해보험
롯데쇼핑,23530,023530.KS,KOSPI,종합 소매업,"백화점(의류,식품 및 잡화),할인점 운영/전자상거래",2006-02-09,12월,"신동빈, 김상현(김 사무엘 상현), 정준호, 강성현",http://www.lotteshoppingir.com,서울특별시,롯데쇼핑
롯데에너지머티리얼즈,20150,020150.KS,KOSPI,전자부품 제조업,"인쇄회로기판(PCB)용 전해동박(ACF,UCF),에폭시용 동박,전해콘덴서용 알루미늄박 제조,판매",2011-03-04,12월,김연섭,http://www.lotteenergymaterials.com,전북특별자치도,롯데에너지머티리얼즈
롯데웰푸드,280360,280360.KS,KOSPI,기타 식품 제조업,"껌,캔디,초코,비스켓,빙과",2017-10-30,12월,"신동빈, 이영구, 이창엽",http://www.lottewellfood.com,서울특별시,롯데웰푸드
롯데이노베이트,286940,286940.KS,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI",2018-07-27,12월,김경엽,http://www.ldcc.co.kr,서울특별시,롯데이노베이트
롯데정밀화학,4000,004000.KS,KOSPI,기초 화학물질 제조업,"염소·셀룰로스계열, 암모니아 계열, 전자재료 등 화학제품 제조",1976-04-15,12월,정승원,http://www.lottefinechem.com,울산광역시,롯데정밀화학
롯데지주,4990,004990.KS,KOSPI,기타 금융업,지주회사,1974-02-16,12월,"신동빈,이동우",http://www.lotte.co.kr,서울특별시,롯데지주
롯데칠성음료,5300,005300.KS,KOSPI,비알코올음료 및 얼음 제조업,"청량음료,과채류음료,곡류음료,주류 제조,판매/자동차정비,연수원",1973-06-21,12월,박윤기,http://company.lottechilsung.co.kr,서울특별시,롯데칠성음료
롯데케미칼,11170,011170.KS,KOSPI,기초 화학물질 제조업,"폴리프로필렌,고밀도폴리에틸렌,에틸렌글리콜,벤젠,에틸렌옥사이드,합성지,부산물 제조",1991-05-30,12월,"신동빈, 이영준, 황민재",http://www.lottechem.com,서울특별시,롯데케미칼
롯데하이마트,71840,071840.KS,KOSPI,가전제품 및 정보통신장비 소매업,"가전제품,잡화 도소매/부동산 임대",2011-06-29,12월,남창희,http://company.himart.co.kr,서울특별시,롯데하이마트
루닛,328130,328130.KQ,KOSDAQ,소프트웨어 개발 및 공급업,Lunit INSIGHT,2022-07-21,12월,서범석,http://www.lunit.io,서울특별시,루닛
루멘스,38060,038060.KQ,KOSDAQ,반도체 제조업,LED개발 및 제조,2006-08-08,12월,박윤민,http://www.lumens.co.kr,경기도,루멘스
루미르,474170,474170.KQ,KOSDAQ,"항공기,우주선 및 부품 제조업","인공위성 시스템 및 전장품, 위성 영상 및 정보",2024-10-21,12월,남명용,http://www.lumir.space,경기도,루미르
루켄테크놀러지스,162120,162120.KQ,KONEX,기타 전기장비 제조업,Vertical Probe Card. Test Socket. Probe Station & Unit.,2017-07-25,12월,안윤태,http://www.luken.co.kr,경기도,루켄테크놀러지스
루트락,253610,253610.KQ,KONEX,기타 전문 도매업,"인공슬관절, 척추 임플란트(의료기기 도·소매)",2020-12-24,12월,박종진,http://rootloc.com,서울특별시,루트락
리가켐바이오,141080,141080.KQ,KOSDAQ GLOBAL,자연과학 및 공학 연구개발업,신약후보물질 발굴을 통한 License-Out,2013-05-10,12월,김용주,http://www.legochembio.com,대전광역시,리가켐바이오
리노공업,58470,058470.KQ,KOSDAQ GLOBAL,전자부품 제조업,"리노핀, 반도체 소켓 등",2001-12-18,12월,이채윤,http://leeno.com/kr,부산광역시,리노공업
리더스코스메틱,16100,016100.KQ,KOSDAQ,"골판지, 종이 상자 및 종이용기 제조업",화장품,2003-01-15,12월,"김진구, 김진상(공동 대표이사)",http://www.leaderscosmetics.com,서울특별시,리더스코스메틱
리드코프,12700,012700.KQ,KOSDAQ,기타 전문 도매업,화공약품운반,1996-01-19,12월,이재중,http://www.leadcorp.co.kr,서울특별시,리드코프
리메드,302550,302550.KQ,KOSDAQ,의료용 기기 제조업,자기장 치료기기,2019-12-06,12월,이근용,http://remed.kr,충청북도,리메드
리튬포어스,73570,073570.KQ,KOSDAQ,그외 기타 제품 제조업,"휴대폰액세서리의 제조, 판매",2004-01-06,12월,변재석,http://www.urbanlithium.com,서울특별시,리튬포어스
리파인,377450,377450.KQ,KOSDAQ,기타 정보 서비스업,권리조사,2021-10-29,12월,서호성,http://www.refine.co.kr,서울특별시,리파인
린드먼아시아,277070,277070.KQ,KOSDAQ,신탁업 및 집합투자업,"투자조합, PEF 결성 및 투자",2018-03-14,12월,김진하,http://www.laic.kr,서울특별시,린드먼아시아
링네트,42500,042500.KQ,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",네트워크 구축(Network Integration),2002-01-10,12월,이주석,http://www.ringnet.co.kr,서울특별시,링네트
링크드,193250,193250.KQ,KOSDAQ,전자부품 제조업,휴대폰용 진동모터,2014-12-29,12월,민용재,http://linkedseoul.com,서울특별시,링크드
링크제니시스,219420,219420.KQ,KOSDAQ,소프트웨어 개발 및 공급업,"반도체, 디스플레이, 자동화 S/W 및 시스템 테스트 자동화 솔루션 개발(XCOMPRO, XGEM, MAT)",2018-02-05,12월,정성우,http://www.linkgenesis.co.kr,경기도,링크제니시스
마녀공장,439090,439090.KQ,KOSDAQ,기타 화학제품 제조업,자연주의 기능성 화장품,2023-06-08,12월,송지혜,http://www.manyo.co.kr,서울특별시,마녀공장
마니커,27740,027740.KS,KOSPI,"도축, 육류 가공 및 저장 처리업","닭고기,햄,계육가공제품,계육,육가공제품 제조,판매,유통/양계관련사업/부동산임대/수출입대행",2002-10-29,12월,"안정원,엄영철(각자 대표이사)",http://www.maniker.co.kr,경기도,마니커
마니커에프앤지,195500,195500.KQ,KOSDAQ,"도축, 육류 가공 및 저장 처리업","육가공품, 튀김류, 패티류, 삼계탕 등",2019-08-20,12월,최장호,http://www.manikerfng.com,경기도,마니커에프앤지
마스턴프리미어리츠,357430,357430.KS,KOSPI,부동산 임대 및 공급업,"프랑스 파리 소재 크리스탈파크, 프랑스 아마존 라스트마일 물류센터, 인천 항동 스마트물류센터",2022-05-31,03월,정범식,http://masternpremier.com,서울특별시,마스턴프리미어리츠
마음AI,377480,377480.KQ,KOSDAQ,소프트웨어 개발 및 공급업,종합 인공지능 엔진 및 플랫폼,2021-11-23,12월,유태준,https://maum.ai,경기도,"마음ai, 마음AI"
마이크로디지탈,305090,305090.KQ,KOSDAQ,의료용 기기 제조업,"바이오 분석 시스템, 메디칼 자동화 시스템",2019-06-05,12월,김경남,http://www.md-best.com,경기도,마이크로디지탈
마이크로엔엑스,448780,448780.KQ,KONEX,의료용 기기 제조업,의료용구(전동기),2022-12-21,12월,이종건/정재경,http://www.micronx.co.kr,대구광역시,마이크로엔엑스
마이크로컨텍솔,98120,098120.KQ,KOSDAQ,전자부품 제조업,"BGA IC Burn-In Socket,DRAM Module Socket",2008-09-23,12월,양승은,http://www.mcsgroup.co.kr,충청남도,마이크로컨텍솔
마이크로투나노,424980,424980.KQ,KOSDAQ,반도체 제조업,메모리 테스트용 프로브 카드,2023-04-26,12월,황규호,http://micro2nano.com,경기도,마이크로투나노
마크로젠,38290,038290.KQ,KOSDAQ,"그외 기타 전문, 과학 및 기술 서비스업","DNA Sequencing, Microarray, Genetically Engineered Mouse",2000-02-22,12월,"서정선, 김창훈 (각자 대표이사)",http://www.macrogen.com,서울특별시,마크로젠
만호제강,1080,001080.KS,KOSPI,1차 철강 제조업,"와이어로프,합성섬유로프,특수강선 제조,수출,임대",1977-06-18,06월,김상환,http://www.manhorope.com,부산광역시,만호제강
매일유업,267980,267980.KQ,KOSDAQ,동·식물성 유지 및 낙농제품 제조업,"유제품(우유, 분유, 발효유, 치즈, 음료 등)",2017-06-05,12월,"김선희, 이인기, 곽정우(각자대표)",http://www.maeil.com,서울특별시,매일유업
매일홀딩스,5990,005990.KQ,KOSDAQ,동·식물성 유지 및 낙농제품 제조업,유제품,1999-05-14,12월,"김정완, 권태훈(각자대표이사)",http://www.maeil.com,서울특별시,매일홀딩스
매커스,93520,093520.KQ,KOSDAQ,기계장비 및 관련 물품 도매업,자일링스(Xilinx)비메모리반도체(PLDchip)유통,2007-02-12,12월,"신동철, 성종률",http://www.makus.co.kr,서울특별시,매커스
맥쿼리인프라,88980,088980.KS,KOSPI,신탁업 및 집합투자업,증권투자회사,2006-03-15,12월,맥쿼리자산운용(주),http://www.macquarie.com/kr/kr/mkif/index.html,서울특별시,맥쿼리인프라
맵스리얼티1,94800,094800.KS,KOSPI,신탁업 및 집합투자업,,2007-04-09,12월,미래에셋자산운용(주),http://www.miraeasset.com,서울특별시,맵스리얼티1
머니무브,179720,179720.KQ,KONEX,기타 금융업,"신용평가솔루션, 온라인투자연계금융서비스",2013-07-01,12월,이상규,http://www.lendingmachine.co.kr,서울특별시,머니무브
머큐리,100590,100590.KQ,KOSDAQ,통신 및 방송 장비 제조업,"AP 단말기, 광섬유 및 광케이블, 위성통신 전송장비",2018-12-14,12월,"김종협, 김상우(각자대표)",http://www.mercury.co.kr,인천광역시,머큐리
멀티캠퍼스,67280,067280.KQ,KOSDAQ,기타 교육기관,성인/기업전문 교육서비스,2006-11-16,12월,정석목,http://www.multicampus.com,서울특별시,멀티캠퍼스
메가스터디,72870,072870.KQ,KOSDAQ,"서적, 잡지 및 기타 인쇄물 출판업","온라인강의,교재판매",2004-12-21,12월,"손주은, 손은진(각자 대표이사)",http://www.megastudyholdings.com,서울특별시,메가스터디
메가스터디교육,215200,215200.KQ,KOSDAQ GLOBAL,일반 교습 학원,"오프라인 학원, 온라인 강의",2015-05-04,12월,손성은,http://www.megastudy.net,서울특별시,메가스터디교육
메가엠디,133750,133750.KQ,KOSDAQ,일반 교습 학원,"의학, 치의학, 법학 전문대학원, 약학대학 입학시험 대비 강의",2015-12-18,12월,윤용국,https://www.megamd.co.kr,서울특별시,메가엠디
메가터치,446540,446540.KQ,KOSDAQ,일차전지 및 이차전지 제조업,"배터리 핀, 반도체 핀",2023-11-09,12월,윤재홍,http://www.megatouch.co.kr,충청남도,메가터치
메드팩토,235980,235980.KQ,KOSDAQ,자연과학 및 공학 연구개발업,항암제 신약개발,2019-12-19,12월,김성진,http://www.medpacto.com,서울특별시,메드팩토
메디쎄이,200580,200580.KQ,KONEX,의료용 기기 제조업,정형외과용 척추임플란트,2015-10-20,12월,성경수,http://www.medyssey.co.kr,충청북도,메디쎄이
메디아나,41920,041920.KQ,KOSDAQ,의료용 기기 제조업,"환자감시장치, 자동심장 제세동기(AED)",2014-10-07,12월,곽민철,http://www.mediana.co.kr,강원특별자치도,메디아나
메디안디노스틱,233250,233250.KQ,KONEX,의료용품 및 기타 의약 관련제품 제조업,동물질병 체외진단키트 및 진단용 시약,2017-06-26,12월,"오진식, 고민수(각자 대표이사)",http://www.mediandiagnostics.com,강원특별자치도,메디안디노스틱
메디앙스,14100,014100.KQ,KOSDAQ,상품 종합 도매업,"누크, 비비생활용품, 비앙또마망, 지에닉, 닥터 아토피스",1995-01-03,12월,박수찬,http://www.medience.co.kr,서울특별시,메디앙스
메디젠휴먼케어,236340,236340.KQ,KONEX,자연과학 및 공학 연구개발업,M-CHECK (개인별 유전적 질병 예측 서비스),2016-01-26,12월,신동직,http://www.medizencare.com,서울특별시,메디젠휴먼케어
메디콕스,54180,054180.KQ,KOSDAQ,선박 및 보트 건조업,XML/SGML 관련 제품 및 솔루션,2001-10-16,12월,"현경석, 고기균 (각자 대표이사)",http://www.megabion.co.kr,서울특별시,메디콕스
메디톡스,86900,086900.KQ,KOSDAQ,기초 의약물질 제조업,"의약품원료(A형,B형 보툴리늄독소 단백질치료제) 제조,연구,개발",2009-01-16,12월,정현호,http://www.medytox.com,충청북도,메디톡스
메디포스트,78160,078160.KQ,KOSDAQ,기초 의약물질 제조업,제대혈은행,2005-07-29,12월,오원일,http://www.medi-post.co.kr,경기도,메디포스트
메리츠금융지주,138040,138040.KS,KOSPI,기타 금융업,투자사업,2011-05-13,12월,김용범,http://www.meritzgroup.com,서울특별시,메리츠금융지주
메쎄이상,408920,408920.KQ,KOSDAQ,기타 사업지원 서비스업,"전시주최, 컨벤션 및 행사 대행업",2022-03-07,12월,조원표,http://messeesang.com,서울특별시,메쎄이상
메이슨캐피탈,21880,021880.KQ,KOSDAQ,기타 금융업,리스수입,1996-09-02,03월,조재형(단독 대표이사),http://mason-capital.co.kr,전북특별자치도,메이슨캐피탈
메지온,140410,140410.KQ,KOSDAQ,자연과학 및 공학 연구개발업,"발기부전증치료제, 전립선비대증치료제",2012-01-20,12월,박동현,https://mezzion.co.kr,서울특별시,메지온
메카로,241770,241770.KQ,KOSDAQ,반도체 제조업,반도체용 전구체 및 히터블록,2017-12-06,12월,"이재정, 박영순 (각자대표)",http://www.mecaro.com,경기도,메카로
메타랩스,90370,090370.KS,KOSPI,봉제의복 제조업,"여성용 의류(캐쥬얼티셔츠,바지) 제조",2006-12-26,12월,하지성,http://www.metalabs.co.kr,서울특별시,메타랩스
메타바이오메드,59210,059210.KQ,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,"생체분해성봉합사,근관충전재",2008-04-15,12월,오석송,http://wwwlmeta-biomed.com,충청북도,메타바이오메드
메타케어,118000,118000.KS,KOSPI,기계장비 및 관련 물품 도매업,"의약품, 의료소모품, 의료기기 도매",2009-12-30,12월,이수진,http://www.meta-care.co.kr,경기도,메타케어
멕아이씨에스,58110,058110.KQ,KOSDAQ,의료용 기기 제조업,인공호흡기,2015-12-14,12월,김종철,http://www.mek-ics.com,경기도,멕아이씨에스
명문제약,17180,017180.KS,KOSPI,의약품 제조업,"의약품(ROBAXIN 주사,KIMITE패취) 제조,판매",2008-07-10,12월,배철한,http://www.mmpharm.co.kr,경기도,명문제약
명신산업,9900,009900.KS,KOSPI,자동차 신품 부품 제조업,자동차차체부품,2020-12-07,12월,최우철,http://www.myoungshinindustry.com,경상북도,명신산업
모나리자,12690,012690.KS,KOSPI,기타 종이 및 판지 제품 제조업,"화장지,미용티슈 제조,도매",1988-10-14,12월,정창석,http://www.monarisa.co.kr,서울특별시,모나리자
모나미,5360,005360.KS,KOSPI,생활용품 도매업,"BP153(BALL POINT PEN), P-3000(PLUS PEN), 유성매직, 보드마카, 네임펜, PARKER, WARTERMAN, 색연필",1974-06-26,12월,송하경,http://www.monami.com,경기도,모나미
모나용평,70960,070960.KS,KOSPI,일반 및 생활 숙박시설 운영업,"리조트 운영, 콘도 분양",2016-05-27,12월,임학운,http://www.yongpyong.co.kr,강원특별자치도,모나용평
모니터랩,434480,434480.KQ,KOSDAQ,소프트웨어 개발 및 공급업,"웹방화벽,유해사이트솔루션,가시성SSL 솔루션, SASE플랫폼기반 SECaaS",2023-05-19,12월,이광후,https://www.monitorapp.com,서울특별시,모니터랩
모다이노칩,80420,080420.KQ,KOSDAQ,"섬유, 의복, 신발 및 가죽제품 소매업","ESD필터,칩바리스터",2005-12-06,12월,"정태형, 강중근",http://www.innochips.co.kr,경기도,모다이노칩
모델솔루션,417970,417970.KQ,KOSDAQ,특수 목적용 기계 제조업,"하이엔드 프로토타입 제조, 다품종 소량생산 서비스",2022-10-07,12월,우병일,http://www.model-solution.com,서울특별시,모델솔루션
모두투어,80160,080160.KQ,KOSDAQ,여행사 및 기타 여행보조 서비스업,"항공권판매수수료,해외여행알선",2005-07-26,12월,우종웅,http://www.modetour.co.kr,서울특별시,모두투어
모바일어플라이언스,87260,087260.KQ,KOSDAQ,소프트웨어 개발 및 공급업,"블랙박스, 내비게이션, HUD, ADAS",2017-02-24,12월,이재신,http://www.mobileappliance.co.kr,경기도,모바일어플라이언스
모베이스,101330,101330.KQ,KOSDAQ,통신 및 방송 장비 제조업,휴대전화 케이스,2010-02-04,12월,"손병준, 백승협(각자대표)",http://www.mobase.com,경기도,모베이스
모베이스전자,12860,012860.KQ,KOSDAQ,자동차 신품 부품 제조업,"스마트키,스위치",1994-10-26,12월,이광윤,http://www.mobaseelec.com,경기도,모베이스전자
모비데이즈,363260,363260.KQ,KOSDAQ,광고업,기업인수합병,2021-02-10,12월,유범령,https://www.mobidays.com,서울특별시,모비데이즈
모비릭스,348030,348030.KQ,KOSDAQ,소프트웨어 개발 및 공급업,모바일 게임 개발 및 퍼블리싱,2021-01-28,12월,"이남일, 이승균(각자 대표이사)",http://www.mobirix.com,서울특별시,모비릭스
모비스,250060,250060.KQ,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",핵융합 제어솔루션 및 스마트팩토리 통합솔루션,2016-09-08,12월,김지헌,http://www.mobiis.com,경기도,모비스
모아데이타,288980,288980.KQ,KOSDAQ,소프트웨어 개발 및 공급업,인공지능 기반 ICT 시스템 이상탐지 및 예측 솔루션,2022-03-10,12월,한상진,http://www.moadata.co.kr,경기도,모아데이타
모아라이프플러스,142760,142760.KQ,KOSDAQ,자연과학 및 공학 연구개발업,"자궁경부상피이형증 치료제, 자궁경부전암 치료백신",2016-07-07,12월,한상진,http://www.bioleaders.co.kr,경기도,모아라이프플러스
모아텍,33200,033200.KQ,KOSDAQ,전자부품 제조업,위치제어용초정및소형모터,1997-10-13,03월,최성환,http://www.moatech.co.kr,인천광역시,모아텍
모코엠시스,333050,333050.KQ,KOSDAQ,소프트웨어 개발 및 공급업,"연계솔루션, 보안솔루션, APM솔루션",2019-10-31,12월,"김인수, 윤영호 (각자 대표이사)",http://www.mocomsys.com,서울특별시,모코엠시스
모토닉,9680,009680.KS,KOSPI,자동차 신품 부품 제조업,"자동차용 부품(연료펌프,LPI SYSTEM, FCEV) 제조,판매",1994-01-14,12월,"김희진, 신현돈(각자 대표이사)",http://www.motonic.com,서울특별시,모토닉
모트렉스,118990,118990.KQ,KOSDAQ,자동차 신품 부품 제조업,차량용 인포테인먼트,2017-08-04,12월,이형환,http://www.motrex.co.kr,경기도,모트렉스
모티브링크,463480,463480.KQ,KOSDAQ,전자부품 제조업,"EV용 Main Transformer, EV용 Line Filter",2025-02-20,12월,김기한,http://evpart.co.kr,경기도,모티브링크
모헨즈,6920,006920.KQ,KOSDAQ,"시멘트, 석회, 플라스터 및 그 제품 제조업",레미콘,1989-01-05,12월,김형민,http://www.imohenz.com,충청남도,모헨즈
무림페이퍼,9200,009200.KS,KOSPI,"펄프, 종이 및 판지 제조업","지류,아트지,백상지 제조",1990-06-09,12월,이도균,http://www.moorim.co.kr,경상남도,무림페이퍼
무림P&P,9580,009580.KS,KOSPI,"펄프, 종이 및 판지 제조업","표백화학펄프(B.K.P) 제조,목재가공,조림사업",1989-06-20,12월,이도균,http://www.moorimpnp.co.kr,울산광역시,"무림p&p, 무림P&P"
무림SP,1810,001810.KQ,KOSDAQ,"펄프, 종이 및 판지 제조업","아트지,CCP지",2000-01-04,12월,이도균,http://www.moorim.co.kr,서울특별시,"무림sp, 무림SP"
무진메디,322970,322970.KQ,KONEX,자연과학 및 공학 연구개발업,"NANO-MEDICINE 전문회사,LNP(지질나노입자)를 이용한 원료 소재 및 개량/신약 개발",2020-06-24,12월,윤태종,http://www.moogene.com,경기도,무진메디
무학,33920,033920.KS,KOSPI,알코올음료 제조업,소주,2010-07-20,12월,"최재호, 최낙준 (각자 대표이사)",http://www.muhak.co.kr,경상남도,무학
문배철강,8420,008420.KS,KOSPI,1차 철강 제조업,"철강재중 판재류(후판,박판,무늬강판) 제조,도매",1994-11-05,12월,이창환,http://www.moonbaesteel.co.kr,서울특별시,문배철강
미디어젠,279600,279600.KQ,KOSDAQ,소프트웨어 개발 및 공급업,음성인식 소프트웨어 기술개발,2019-11-05,12월,송민규,http://www.mediazen.co.kr,경기도,미디어젠
미래나노텍,95500,095500.KQ,KOSDAQ,플라스틱제품 제조업,LCDBLU용광학필름,2007-10-01,12월,김철영,http://www.mntech.co.kr,충청북도,미래나노텍
미래반도체,254490,254490.KQ,KOSDAQ,기타 전문 도매업,반도체,2023-01-27,12월,이정,http://www.miraisemi.co.kr,서울특별시,미래반도체
미래산업,25560,025560.KS,KOSPI,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","PCB마운터,반도체검사장비(반도체테스트핸들러),LCD 검사장비,리드프레임매가진 제조,도매,무역",1996-11-22,12월,이창재,http://www.mirae.co.kr,충청남도,미래산업
미래생명자원,218150,218150.KQ,KOSDAQ,동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업,2015-06-18,12월,김성진,http://www.milaebio.com,서울특별시,미래생명자원
미래아이앤지,7120,007120.KS,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","CCTV, DVR제조, 금융솔루션, 방산제품",1999-11-26,12월,김학수,http://www.miraeing.co.kr,서울특별시,미래아이앤지
미래에셋글로벌리츠,396690,396690.KS,KOSPI,부동산 임대 및 공급업,부동산 임대업,2021-12-03,03월,신현준,,서울특별시,미래에셋글로벌리츠
미래에셋드림스팩1호,442900,442900.KQ,KOSDAQ,금융 지원 서비스업,기업인수합병,2023-03-15,12월,박장우,,서울특별시,미래에셋드림스팩1호
미래에셋맵스리츠,357250,357250.KS,KOSPI,부동산 임대 및 공급업,부동산 임대업,2020-08-05,11월,정상구,http://www.maps1reit.miraeasset.com,서울특별시,미래에셋맵스리츠
미래에셋벤처투자,100790,100790.KQ,KOSDAQ,기타 금융업,중소기업 창업투자 관련 고유계정/투자조합 관련 수익,2019-03-15,12월,김응석,http://venture.miraeasset.co.kr,경기도,미래에셋벤처투자
미래에셋비전스팩2호,446190,446190.KQ,KOSDAQ,금융 지원 서비스업,기업인수합병,2023-02-24,12월,이효상,,서울특별시,미래에셋비전스팩2호
미래에셋비전스팩3호,448830,448830.KQ,KOSDAQ,금융 지원 서비스업,기업인수목적회사(기타금융서비스),2023-04-07,12월,나경수,,서울특별시,미래에셋비전스팩3호
