회사명,종목코드,티커,시장구분,업종,주요제품,상장일,결산월,대표자,홈페이지,주소지,alias
에이팩트,200470,200470.KQ,KOSDAQ,반도체 제조업,메모리 반도체 테스트,2014-12-26,12월,이성동,http://www.apact.co.kr,경기도,에이팩트
에이펙스인텍,207490,207490.KQ,KONEX,전구 및 조명장치 제조업,LED조명장치 등,2018-11-28,12월,김권진,http://www.apexint.co.kr,경상북도,에이펙스인텍
에이프로,262260,262260.KQ,KOSDAQ,기타 전기장비 제조업,"2차전지 장비 등(일반충방전기, 고온가압 충방전기 등)",2020-07-16,12월,임종현,http://www.aproele.com,경기도,에이프로
에이프로젠,7460,007460.KS,KOSPI,기타 금속 가공제품 제조업,"단열장치,철구조물,가열로,특수단열재(금속표면경화육성,원자로용) 제조/단열공사/부동산 임대",1995-07-08,12월,김재섭,http://www.aprogen.com,경기도,에이프로젠
에이프로젠바이오로직스,3060,003060.KS,KOSPI,의약품 제조업,"의약품(항생제,영양수액제,드링크제,철결핍성빈혈예방치료제,경옥동충하초) 제조,판매",1984-10-19,12월,"김재섭, 김정출",http://www.aprogen-pharm.com,서울특별시,에이프로젠바이오로직스
에이프릴바이오,397030,397030.KQ,KOSDAQ,자연과학 및 공학 연구개발업,항체의약품 및 재조합 단백질 의약품,2022-07-28,12월,차상훈,http://www.aprilbio.com,강원특별자치도,에이프릴바이오
에이플러스에셋,244920,244920.KS,KOSPI,보험 및 연금관련 서비스업,보험대리 및 중개업,2020-11-20,12월,"곽근호, 황승목(각자대표)",http://www.aplusga.com,서울특별시,에이플러스에셋
에이피알,278470,278470.KS,KOSPI,기타 화학제품 제조업,"화장품, 피부미용기기 등",2024-02-27,12월,김병훈,http://apr-in.com,서울특별시,에이피알
에치에프알,230240,230240.KQ,KOSDAQ,통신 및 방송 장비 제조업,유선 및 무선통신장비 제조 및 제조서비스,2015-12-16,12월,정종민,http://www.hfrnet.com,경기도,에치에프알
에코마케팅,230360,230360.KQ,KOSDAQ,광고업,"온라인, 모바일 광고 종합대행업",2016-08-08,12월,"김철웅, 안보근(각자대표)",http://www.echomarketing.co.kr,서울특별시,에코마케팅
에코바이오,38870,038870.KQ,KOSDAQ,사업시설 유지·관리 서비스업,"판매시점정보시스템(POS), 금전등록기",2001-05-29,12월,송효순,http://www.ecoenergyholdings.com,서울특별시,에코바이오
에코볼트,97780,097780.KQ,KOSDAQ,자동차 신품 부품 제조업,자동차 신품 부품,2008-01-23,12월,김상엽,http://www.s-mac.co.kr,충청남도,에코볼트
에코아이,448280,448280.KQ,KOSDAQ,기타 전문 서비스업,탄소배출권 및 탄소배출권 관련 컨설팅,2023-11-21,12월,이수복,http://www.ecoeye.com,서울특별시,에코아이
에코앤드림,101360,101360.KQ,KOSDAQ,기타 화학제품 제조업,배출가스 저감용 촉매 및 이차전지 양극활물질 전구체,2020-07-30,12월,김민용,http://www.endss.com,충청북도,에코앤드림
에코캡,128540,128540.KQ,KOSDAQ,자동차 신품 부품 제조업,"자동차 부품(전선, 케이블, 벌브소켓, LED 등)",2018-12-05,12월,김창규,http://www.ecocab.co.kr,울산광역시,에코캡
에코프로,86520,086520.KQ,KOSDAQ,기타 금융업,"환경소재,화학필터,이차전지소재등",2007-07-20,12월,송호준,http://www.ecopro.co.kr,충청북도,"EcoPro, 에코프로"
에코프로머티,450080,450080.KS,KOSPI,일차전지 및 이차전지 제조업,배터리 양극재용 핵심소재 하이니켈 전구체,2023-11-17,12월,김병훈,http://ecopromaterials.com,경상북도,에코프로머티
에코프로비엠,247540,247540.KQ,KOSDAQ GLOBAL,일차전지 및 이차전지 제조업,양극활물질,2019-03-05,12월,"각자 대표이사 최문호, 김장우",http://www.ecoprobm.co.kr,충청북도,"EcoPro BM, 에코프로비엠"
에코프로에이치엔,383310,383310.KQ,KOSDAQ GLOBAL,기타 화학제품 제조업,환경오염 방지 관련 소재 및 설비,2021-05-28,12월,김종섭,http://www.ecoprohn.co.kr,충청북도,에코프로에이치엔
에코플라스틱,38110,038110.KQ,KOSDAQ,자동차 신품 부품 제조업,BUMPER 및 자동차TRIM류,2000-03-23,12월,이용철,http://WWW.AP.CO.KR,경상북도,에코플라스틱
에프알텍,73540,073540.KQ,KOSDAQ,통신 및 방송 장비 제조업,이동통신용중계기,2007-05-18,12월,남재국,http://www.frtek.co.kr,경기도,에프알텍
에프앤가이드,64850,064850.KQ,KOSDAQ,기타 정보 서비스업,"금융정보서비스, INDEX, 펀드평가 등",2020-12-17,12월,이기태,http://www.fnguide.com,서울특별시,에프앤가이드
에프에스티,36810,036810.KQ,KOSDAQ,전자부품 제조업,"펠리클(반도체부품), 칠러장비, 반도체유통",2000-01-18,12월,장경빈,http://www.fstc.co.kr,경기도,에프에스티
에프엔씨엔터,173940,173940.KQ,KOSDAQ,창작 및 예술관련 서비스업,"콘서트, 음반/음원",2014-12-04,12월,"한성호, 김유식",http://www.fncent.com,서울특별시,에프엔씨엔터
에프엔에스테크,83500,083500.KQ,KOSDAQ,특수 목적용 기계 제조업,"OLED, LCD 제조 공정 장비",2017-02-27,12월,"김팔곤, 양상재(공동대표)",http://www.fnstech.com,충청남도,에프엔에스테크
에피바이오텍,446440,446440.KQ,KONEX,자연과학 및 공학 연구개발업,탈모 치료제,2023-07-31,12월,성종혁,http://epibiotech.com,인천광역시,에피바이오텍
엑사이엔씨,54940,054940.KQ,KOSDAQ,실내건축 및 건축마무리 공사업,실내건축 공사업,2001-12-13,12월,김성후 (단독 대표이사),http://www.exaenc.com,서울특별시,엑사이엔씨
엑세스바이오,950130,950130.KQ,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,"말라리아 진단키트(RDT), HIV 진단키트(RDT)",2013-05-30,12월,최영호,http://www.accessbio.net,미국,엑세스바이오
엑셀세라퓨틱스,373110,373110.KQ,KOSDAQ,기초 의약물질 제조업,CellCor SFD/CD(세포배양배지),2024-07-15,12월,이의일,http://www.xcell.media,서울특별시,엑셀세라퓨틱스
